2021-06-21 22:06:342 INFO  BasePage :34 - Launching Chrome Browser
2021-06-21 22:06:96 INFO  HomePage :43 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e66f7f770044f9c5392c2ae66390531f)] -> link text: Computers]
2021-06-21 22:06:163 INFO  ComputerPage :29 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (e66f7f770044f9c5392c2ae66390531f)] -> link text: Desktops]
2021-06-21 22:06:271 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (e66f7f770044f9c5392c2ae66390531f)] -> xpath: //select[@id='products-orderby']]
2021-06-21 22:06:357 INFO  ComputerPage :41 - Get list of products : [[ChromeDriver: chrome on WINDOWS (e66f7f770044f9c5392c2ae66390531f)] -> xpath: //h2[@class='product-title']]
2021-06-21 22:06:516 INFO  BasePage :34 - Launching Chrome Browser
2021-06-21 22:06:998 INFO  HomePage :43 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (007bc1a968275262f16947e0a9eaaacf)] -> link text: Computers]
2021-06-21 22:06:456 INFO  ComputerPage :29 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (007bc1a968275262f16947e0a9eaaacf)] -> link text: Desktops]
2021-06-21 22:06:91 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (007bc1a968275262f16947e0a9eaaacf)] -> xpath: //select[@id='products-orderby']]
2021-06-21 22:06:174 INFO  ComputerPage :41 - Get list of products : [[ChromeDriver: chrome on WINDOWS (007bc1a968275262f16947e0a9eaaacf)] -> xpath: //h2[@class='product-title']]
2021-06-23 13:06:657 INFO  BasePage :34 - Launching Chrome Browser
2021-06-23 13:06:982 INFO  HomePage :43 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (eaccf73c246481546646dd35268ebfdc)] -> link text: Computers]
2021-06-23 13:06:315 INFO  ComputerPage :29 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (eaccf73c246481546646dd35268ebfdc)] -> link text: Desktops]
2021-06-23 13:06:629 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (eaccf73c246481546646dd35268ebfdc)] -> xpath: //select[@id='products-orderby']]
2021-06-23 13:06:701 INFO  ComputerPage :41 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (eaccf73c246481546646dd35268ebfdc)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (eaccf73c246481546646dd35268ebfdc)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (eaccf73c246481546646dd35268ebfdc)] -> xpath: //h2[@class='product-title']]]
2021-06-23 15:06:222 INFO  BasePage :34 - Launching Chrome Browser
2021-06-23 15:06:939 INFO  HomePage :43 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> link text: Computers]
2021-06-23 15:06:479 INFO  ComputerPage :29 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> link text: Desktops]
2021-06-23 15:06:813 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //select[@id='products-orderby']]
2021-06-23 15:06:964 INFO  BuildYourOwnComputerPage :53 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //div[@class='item-box'][1]//button[text()='Add to cart']]
2021-06-23 15:06:175 INFO  BuildYourOwnComputerPage :58 - Verify User Navigate to Build your own Computer product page [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-23 15:06:489 INFO  BuildYourOwnComputerPage :65 - select the processor from drop down [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //select[@id='product_attribute_1']]
2021-06-23 15:06:786 INFO  BuildYourOwnComputerPage :71 - select the Ram from drop down [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //select[@id='product_attribute_2']]
2021-06-23 15:06:911 INFO  BuildYourOwnComputerPage :77 - click On Hdd from radio button [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //dd[@id='product_attribute_input_3']//label[text()='400 GB [+$100.00]']]
2021-06-23 15:06:275 INFO  BuildYourOwnComputerPage :84 - Click on Os Radio from list[[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //input[@id='product_attribute_4_9']]
2021-06-23 15:06:460 INFO  BuildYourOwnComputerPage :92 - Click on MicrosoftOffice from checkbox [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //input[@id='product_attribute_5_10']]
2021-06-23 15:06:638 INFO  BuildYourOwnComputerPage :99 - Click on Total Commander [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //input[@id='product_attribute_5_12' and @ name='product_attribute_5']]
2021-06-23 15:06:720 INFO  BuildYourOwnComputerPage :104 - Verify  the total Price $1475.00 [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //span[@id='price-value-1']]
2021-06-23 15:06:885 INFO  BuildYourOwnComputerPage :111 - Click add to cart [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //button[@id='add-to-cart-button-1']]
2021-06-23 15:06:950 INFO  BuildYourOwnComputerPage :116 - Verify Shopping Cart Text [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //p[text()='The product has been added to your ']]
2021-06-23 15:06:154 INFO  BuildYourOwnComputerPage :123 - Click on Green Bar [[ChromeDriver: chrome on WINDOWS (8ea2024bb29ff5649f321805afe166e5)] -> xpath: //span[@class='close']]
